Aaron Eckhart;The Dark Knight; true
Abe Vigoda;Look Whos Talking; true
Abigail Breslin;Little Miss Sunshine; true
Abigail Breslin;Signs; true
Adam Brody;Mr. & Mrs. Smith; true
Adam Bryant;Fisher King, The; true
Adam Sandler;Anger Management; true
Adam Sandler;Click; true
Adam Sandler;Grown Ups; true
Adam Sandler;The Longest Yard; true
Adam Sandler;Big Daddy; true
Adam Sandler;Waterboy, The; true
Adewale Akinnuoye-Agbaje;G.I. Joe: The Rise of Cobra; true
Adolphe Menjou;Morning Glory; true
Adoni Maropis;Troy; true
Adriana Caselotti;Snow White and the Seven Dwarfs; true
Adrien Brody;Pianist, The; true
Adrien Brody;King Kong; true
Agnes Moorehead;Johnny Belinda; true
Ahney Her;Gran Torino; true
Akim Tamiroff;For Whom the Bell Tolls; true
Akim Tamiroff;Anastasia; true
Al Pacino;Scent of a Woman; true
Al Pacino;Godfather, The; true
Al Pacino;Godfather: Part II, The; true
Alan Alda;California Suite; true
Alan Alda;What Women Want; true
Alan Arkin;Little Miss Sunshine; true
Alan Bates;Women in Love; true
Alan Bates;Alexis Zorbas; true
Alan Rickman;Harry Potter and the Deathly Hallows: Part 2; true
Alan Rickman;Robin Hood: Prince of Thieves; true
Alan Tudyk;I, Robot; true
Albert Brooks;Finding Nemo; true
Albert Finney;Tom Jones; true
Albert Finney;Murder on the Orient Express; true
Albert Finney;Erin Brockovich; true
Albert Gran;Seventh Heaven; true
Alec Baldwin;The Aviator; true
Alec Guinness;Star Wars; true
Alec Guinness;Lawrence of Arabia; true
Alec Guinness;Bridge on the River Kwai, The; true
Alec Guinness;Passage to India, A; true
Alena Murray;Three Faces of Eve, The; true
Alessandro Nivola;Jurassic Park III; true
Alex Jennings;The Queen; true
Alex Rafalowicz;Shine; true
Alexander DArcy;Awful Truth, The; true
Alexander Gould;Finding Nemo; true
Alexandra Astin;Lord of the Rings: The Return of the King, The; true
Alfre Woodard;Dinosaur; true
Alfred Lutter III;Alice Doesnt Live Here Anymore; true
Alfred Molina;Spider-Man 2; true
Alice Brady;In Old Chicago; true
Alice Braga;I Am Legend; true
Alice da Cunha;The Iron Lady; true
Alice Faye;In Old Chicago; true
Alicia Goranson;Boys Dont Cry; true
Alima Ashton-Sheibu;Matrix Reloaded, The; true
Alison Doody;Indiana Jones and the Last Crusade; true
Alison Skipworth;Dangerous; true
Alison Whelan;My Left Foot; true
Allie Mickelson;Capote; true
Allison Gompf;Children of a Lesser God; true
Allison Janney;Juno; true
Alyson Hannigan;American Pie 2; true
Amanda Peet;2012; true
Amanda Seyfried;Mamma Mia!; true
Amber Rules;Monsters Ball; true
Amber Valletta;Hitch; true
America Ferrera;How to Train Your Dragon; true
Amr Waked;Syriana; true
Amrish Puri;Indiana Jones and the Temple of Doom; true
Amy Adams;Night at the Museum: Battle of the Smithsonian; true
Amy Adams;The Fighter; true
Amy Locane;Blue Sky; true
Amy Madigan;Places in the Heart; true
Amy Sedaris;Chicken Little; true
Amy Wright;Accidental Tourist, The; true
Andrea Checchi;Ciociara, La; true
Andrew Chavez;Traffic; true
Andrew Garfield;The Amazing Spider-Man; true
Andrew Prine;Miracle Worker, The; true
Andy Arness;Matrix Reloaded, The; true
Andy Devine;In Old Chicago; true
Andy Devine;Stagecoach; true
Andy Garcia;Untouchables, The; true
Angela Lansbury;Gaslight; true
Angela Lansbury;National Velvet; true
Angelina Jolie;Girl, Interrupted; true
Angelina Jolie;Shark Tale; true
Angelina Jolie;Mr. & Mrs. Smith; true
Angelina Jolie;Kung Fu Panda 2; true
Angelina Jolie;Kung Fu Panda; true
Angelina Jolie;Lara Croft: Tomb Raider; true
Anil Kapoor;Slumdog Millionaire; true
Anita Louise;Story of Louis Pasteur, The; true
Anita Louise;Anthony Adverse; true
Anita Page;Broadway Melody, The; true
Anjelica Huston;Prizzis Honor; true
Ann Blyth;Mildred Pierce; true
Ann Hearn;Accused, The; true
Ann Rutherford;Gone with the Wind; true
Ann Sothern;Letter to Three Wives, A; true
Anna Felix;Crazy Heart; true
Anna Kendrick;New Moon; true
Anna Lee;How Green Was My Valley; true
Anna Magnani;Rose Tattoo, The; true
Anna Paquin;Piano, The; true
Anna Popplewell;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe; true
Anna Popplewell;The Chronicles of Narnia: Prince Caspian; true
Annabella Sciorra;Reversal of Fortune; true
Anne Archer;Fatal Attraction; true
Anne Bancroft;Graduate, The; true
Anne Bancroft;Miracle Worker, The; true
Anne Baxter;Razors Edge, The; true
Anne Baxter;All About Eve; true
Anne Francis;Funny Girl; true
Anne Haney;Liar Liar; true
Anne Hathaway;The Dark Knight Rises; true
Anne Hathaway;Alice in Wonderland; true
Anne Revere;National Velvet; true
Anne Revere;Place in the Sun, A; true
Anne Revere;Gentlemans Agreement; true
Annette Bening;American Beauty; true
Annie Corley;Monster; true
Anthony Daniels;Star Wars: Episode V - The Empire Strikes Back; true
Anthony Daniels;Star Wars: Episode VI - Return of the Jedi; true
Anthony Edwards;Top Gun; true
Anthony Heald;Silence of the Lambs, The; true
Anthony Hopkins;Silence of the Lambs, The; true
Anthony Hopkins;Hannibal; true
Anthony Hopkins;Thor; true
Anthony Hopkins;The Lion in Winter; true
Anthony Mackie;The Hurt Locker; true
Anthony Quayle;Hamlet; true
Anthony Quinn;Lust for Life; true
Anthony Quinn;Lawrence of Arabia; true
Anthony Quinn;Alexis Zorbas; true
Anthony Quinn;Viva Zapata!; true
Anthony Ross;Country Girl, The; true
Antonio Banderas;Shrek Forever After; true
Antonio Banderas;Shrek the Third; true
Antonio Banderas;Shrek 2; true
Arnold Moss;Viva Zapata!; true
Arnold Schwarzenegger;True Lies; true
Arnold Schwarzenegger;Terminator 2: Judgment Day; true
Arnold Schwarzenegger;Terminator 3: Rise of the Machines; true
Arnold Vosloo;Mummy Returns, The; true
Arnold Vosloo;The Mummy; true
Art Carney;Harry and Tonto; true
Art Chudabala;Crash; true
Arthur Kennedy;Elmer Gantry; true
Arturo de Cordova;For Whom the Bell Tolls; true
Ashley Greene;Twilight; true
Ashley Johnson;What Women Want; true
Asia Argento;XXX; true
Audrey Hepburn;Roman Holiday; true
Audrey Hepburn;My Fair Lady; true
Audrey Tautou;The Da Vinci Code; true
Augusta Ciolli;Marty; true
Ava Gardner;Barefoot Contessa, The; true
Avon Long;Harry and Tonto; true
Barbara Baxley;Norma Rae; true
Barbara Harris;Thousand Clowns, A; true
Barbara Hershey;Hannah and Her Sisters; true
Barbara Hershey;Black Swan; true
Barbara ONeil;Gone with the Wind; true
Barbara Rhoades;Goodbye Girl, The; true
Barbra Streisand;Funny Girl; true
Barbra Streisand;Meet the Fockers; true
Barry Bostwick;Rocky Horror Picture Show, The; true
Barry Fitzgerald;Quiet Man, The; true
Barry Fitzgerald;None But the Lonely Heart; true
Barry Fitzgerald;Going My Way; true
Barry Miller;Saturday Night Fever; true
Barry Pearl;Grease; true
Barry Pepper;True Grit; true
Barry Sullivan;Bad and the Beautiful, The; true
Barton MacLane;Treasure of the Sierra Madre, The; true
Beah Richards;Guess Whos Coming to Dinner; true
Beatrice Straight;Network; true
Beau Bridges;Norma Rae; true
Bee Vang;Gran Torino; true
Bembol Roco;Year of Living Dangerously, The; true
Ben Affleck;Armageddon; true
Ben Affleck;Pearl Harbor; true
Ben Affleck;Good Will Hunting; true
Ben Bard;Seventh Heaven; true
Ben Barnes;The Chronicles of Narnia: Prince Caspian; true
Ben Burtt;WALL-E; true
Ben Cooper;Rose Tattoo, The; true
Ben Cross;Chariots of Fire; true
Ben Johnson;Last Picture Show, The; true
Ben Kingsley;Gandhi; true
Ben Kingsley;Schindlers List; true
Ben Stiller;Madagascar 3: Europes Most Wanted; true
Ben Stiller;Madagascar; true
Ben Stiller;Meet the Fockers; true
Ben Stiller;Theres Something About Mary; true
Ben Stiller;Night at the Museum: Battle of the Smithsonian; true
Ben Stiller;Meet the Parents; true
Ben Stiller;Night at the Museum; true
Ben Stiller;Madagascar: Escape 2 Africa; true
Ben Wright;One Hundred and One Dalmatians; true
Benicio Del Toro;Traffic; true
Benicio Del Toro;Usual Suspects, The; true
Berenice Bejo;The Artist; true
Bernie Coulson;Accused, The; true
Beryl Mercer;Cavalcade; true
Bessie Love;Broadway Melody, The; true
Betsy Blair;Marty; true
Betsy Palmer;Mister Roberts; true
Bette Davis;All About Eve; true
Bette Davis;Dangerous; true
Bette Davis;Jezebel; true
Bette Davis;Great Lie, The; true
Bette Davis;Watch on the Rhine; true
Betty Buckley;Tender Mercies; true
Betty Hutton;Greatest Show on Earth, The; true
Betty Lou Gerson;One Hundred and One Dalmatians; true
Betty White;The Proposal; true
Betty White;The Lorax; true
Beulah Bondi;Watch on the Rhine; true
Beyonce Knowles;Dreamgirls; true
Beyonce Knowles;Austin Powers in Goldmember; true
Bill Anderson Jr.;Coal Miners Daughter; true
Bill Cobbs;Night at the Museum; true
Bill Goodwin;To Each His Own; true
Bill Irwin;How the Grinch Stole Christmas; true
Bill Murray;Ghostbusters; true
Bill Nighy;Harry Potter and the Deathly Hallows: Part 1; true
Bill Nighy;Pirates of the Caribbean: Dead Mans Chest; true
Bill Paxton;Titanic; true
Bill Paxton;Apollo 13; true
Bill Paxton;Twister; true
Bill Paxton;True Lies; true
Bill Pullman;Independence Day; true
Billy Bob Thornton;Monsters Ball; true
Billy Bob Thornton;Armageddon; true
Billy Burke;Twilight; true
Billy Burke;The Twilight Saga: Breaking Dawn - Part 1; true
Billy Burke;New Moon; true
Billy Connolly;Brave; true
Billy Crudup;Mission: Impossible III; true
Billy Crystal;Monsters, Inc.; true
Billy Crystal;City Slickers; true
Billy Dee Williams;Star Wars: Episode V - The Empire Strikes Back; true
Billy Dee Williams;Star Wars: Episode VI - Return of the Jedi; true
Billy Green Bush;Alice Doesnt Live Here Anymore; true
Billy Zane;Titanic; true
Bing Crosby;Going My Way; true
Bing Crosby;Country Girl, The; true
Blythe Danner;Meet the Fockers; true
Blythe Danner;Meet the Parents; true
Bob Griffin;Blair Witch Project, The; true
Bob Gunton;Patch Adams; true
Bob Hoskins;Who Framed Roger Rabbit; true
Bob Newhart;Elf; true
Bob Peck;Jurassic Park; true
Bob Peterson;Up; true
Bonnie Hunt;Cheaper by the Dozen; true
Bonnie Hunt;Cars; true
Bonnie Hunt;Green Mile, The; true
Brad Garrett;Finding Nemo; true
Brad Pitt;Inglourious Basterds; true
Brad Pitt;Mr. & Mrs. Smith; true
Bradley Cooper;The Hangover Part II; true
Bradley Cooper;The Hangover; true
Brandon De Wilde;Hud; true
Brandon Routh;Superman Returns; true
Brawley Nolte;Ransom; true
Brenda Fricker;My Left Foot; true
Brenda Vaccaro;Midnight Cowboy; true
Brendan Fraser;Mummy Returns, The; true
Brendan Fraser;The Mummy; true
Brendan Gleeson;Cold Mountain; true
Brendan Sexton III;Boys Dont Cry; true
Brian Blessed;Tarzan; true
Brian Cox;The Bourne Supremacy; true
Brian Cox;Rise of the Planet of the Apes; true
Brian Cox;Troy; true
Brian Dennehy;Cocoon; true
Brian Dennehy;Ratatouille; true
Brian Geraghty;The Hurt Locker; true
Brian Haley;Gran Torino; true
Brian Howe;The Pursuit of Happyness; true
Bridget Moynahan;I, Robot; true
Brittany Murphy;Girl, Interrupted; true
Broderick Crawford;All the Kings Men; true
Broderick Crawford;Born Yesterday; true
Bronwen Coleman;Capote; true
Bruce Bennett;Treasure of the Sierra Madre, The; true
Bruce Bennett;More the Merrier, The; true
Bruce Boxleitner;TRON: Legacy; true
Bruce Dern;Coming Home; true
Bruce Dern;Monster; true
Bruce Greenwood;I, Robot; true
Bruce Greenwood;Star Trek; true
Bruce Willis;Sixth Sense, The; true
Bruce Willis;Over the Hedge; true
Bruce Willis;Armageddon; true
Bruno Kirby;City Slickers; true
Bryan Larkin;Born on the Fourth of July; true
Bryce Dallas Howard;The Help; true
Bryce Dallas Howard;The Twilight Saga: Eclipse; true
Bud Cort;Pollock; true
Burgess Meredith;Rocky; true
Burl Ives;East of Eden; true
Burl Ives;Big Country, The; true
Burt Lancaster;From Here to Eternity; true
Burt Lancaster;Airport; true
Burt Lancaster;Come Back, Little Sheba; true
Burt Lancaster;Rose Tattoo, The; true
Burt Lancaster;Elmer Gantry; true
Burt Lancaster;Judgment at Nuremberg; true
Burt Lancaster;Separate Tables; true
Burt Reynolds;The Longest Yard; true
Burt Young;Rocky; true
Buzz Kilman;Philadelphia; true
C. Aubrey Smith;Morning Glory; true
Cameron Diaz;Shrek 2; true
Cameron Diaz;Shrek Forever After; true
Cameron Diaz;Shrek; true
Cameron Diaz;Shrek the Third; true
Cameron Diaz;Theres Something About Mary; true
Cameron Richardson;Alvin and the Chipmunks; true
Candice Bergen;Gandhi; true
Cantinflas;Around the World in Eighty Days; true
Cara Seymour;Adaptation.; true
Carey Loftin;Patton; true
Carl Weathers;Rocky; true
Carla Gugino;Night at the Museum; true
Carlin Glynn;Trip to Bountiful, The; true
Carlo Ninchi;Ciociara, La; true
Carlos Alazraqui;Happy Feet; true
Carmen Electra;Scary Movie; true
Carol Burnett;Horton Hears a Who!; true
Carol DeLuise;Sunshine Boys, The; true
Carol Florence;Oceans Eleven; true
Carol Kane;Annie Hall; true
Caroline Goodall;Schindlers List; true
Caroline Kava;Born on the Fourth of July; true
Carrie Fisher;Star Wars: Episode V - The Empire Strikes Back; true
Carrie Fisher;Star Wars: Episode VI - Return of the Jedi; true
Carrie Fisher;Hannah and Her Sisters; true
Carrie Fisher;Star Wars; true
Carrie Snodgress;Blue Sky; true
Carrie-Anne Moss;Matrix, The; true
Carroll Baker;Giant; true
Carroll Baker;Big Country, The; true
Cary Elwes;Twister; true
Cary Elwes;Liar Liar; true
Cary Elwes;Glory; true
